name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Recreation and Parks Properties
Douglass Clubhouse,3198698486750945158,restroom,0,0,0,0,37.74781488539503,-122.43843169048587,26th & Douglass St,San Francisco,CA,94131,Douglass Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.43843169 37.747814885),8,Noe Valley,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,57,3,5,22,206
Tenderloin Pit Stop - Eddy St. and Larkin St. Tenderloin Pit Stop Daily,8111766670791515647,restroom,0,0,0,0,37.78335,-122.41769,Eddy St. and Larkin St.   Tenderloin Pit Stop Daily,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.41769 37.78335),5,Tenderloin,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,20,5,10,36,
Golden Gate Park Hellman Hollow Restrooms (frmrly Speedway M,1303409436199885989,restroom,0,0,0,0,37.76953475804844,-122.48470587688037,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.484705877 37.769534758),4,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,4,12,233
Cottage Row Mini Park - Non-Landscaped Greenspace Drinking Fountain,3330043259881691326,drinking_water,1,0,0,0,37.78641126,-122.43227246,Sutter & Fillmore Streets,San Francisco,CA,94115,Cottage Row Mini Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.432272462 37.786411265),5,Pacific Heights,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,101,4,11,30,157
Jose Coronado Playground - Asphalt Pathway Drinking Fountain,689428558969353702,drinking_water,1,0,0,0,37.75767693,-122.4150985,21st & Folsom St,San Francisco,CA,94110,Jose Coronado Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.415098501 37.757676934),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,2,20,181
Aptos: Restrooms,2157191259729629715,restroom,0,0,0,0,37.728526971381946,-122.46602410155539,,San Francisco,CA,94127,Aptos Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.466024102 37.728526971),7,West of Twin Peaks,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,63,10,8,41,70
TNDC: Candlestick Block A,8119082390481302510,drinking_water,0,1,1,0,37.719071,-122.393147,1001 Ingerson Ave,San Francisco,CA,94124,,publicly_accessible,,,Daily,,puc,POINT (-122.393147 37.719071),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,88,2,9,1,
Mountain Lake Park - Lawn Area Doggy Fountain,2506437727730077933,drinking_water,1,0,0,1,37.78697192,-122.46779969,1 Eleventh Avenue,San Francisco,CA,94118,Mountain Lake Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.467799695 37.786971919),1,Inner Richmond,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,4,,6,11,134
Presidio Heights Playground - Children's Play Area Drinking Fountain,2651588572426488666,drinking_water,1,0,0,0,37.78853175,-122.44979582,Clay & Walnut St,San Francisco,CA,94118,Presidio Heights Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.449795825 37.788531752),2,Presidio Heights,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,10,8,6,31,125
Lower Great Highway Judah Restrooms,472633773455991733,restroom,0,0,0,0,37.760245264661876,-122.5095664943657,Great Hwy & Noriega,San Francisco,CA,94122,Lower Great Highway,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.509566494 37.760245265),4,Sunset/Parkside,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,39,10,7,35,20
Golden Gate Park Big Rec Restroom,7412129545205733377,restroom,0,0,0,0,37.76853544308144,-122.46537750554424,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 7,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.465377506 37.768535443),7,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,11,12,228
